code,url,file ext,dominant colour,dominant colour name,closest name,dominant shade,top left pixel,top left pixel color,height,width,transparent
H402-095,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/h402_tn.jpg,jpg,"(21, 22, 24)",black,black,mostly black,"(0, 0, 0)",black,98,170,False
H453,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/h453_tn.jpg,jpg,"(15, 13, 13)",black,black,mostly black,"(0, 0, 0)",black,170,159,False
HE28,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/he28_tn.jpg,jpg,"(9, 8, 8)",black,black,mostly black,"(0, 0, 0)",black,141,170,False
HG90,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/hg90_tn.jpg,jpg,"(212, 211, 210)",white,lightgrey,mostly black,"(0, 0, 0)",black,79,170,False
L231-08,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l231_tn.jpg,jpg,"(157, 143, 147)",white,rosybrown,mostly black,"(0, 0, 0)",black,124,170,False
L73-500,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l73_tn.jpg,jpg,"(183, 185, 185)",white,silver,mostly black,"(4, 4, 4)",black,170,148,False
L821-050,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l821-050_tn.jpg,jpg,"(8, 8, 9)",black,black,mostly black,"(0, 0, 0)",black,170,13,False
L900-02,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l900-02_tn.jpg,jpg,"(159, 159, 148)",white,darkgrey,mostly black,"(0, 0, 0)",black,170,74,False
LCA05-MP,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lca05-mp_tn.jpg,jpg,"(14, 14, 14)",black,black,mostly black,"(0, 0, 0)",black,76,170,False
LCA11-16P,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lca11_tn.jpg,jpg,"(19, 110, 169)",blue,darkcyan,mostly white,"(254, 254, 254)",white,170,170,False
LCA11-CAP16,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lca11_tn.jpg,jpg,"(19, 110, 169)",blue,darkcyan,mostly white,"(254, 254, 254)",white,170,170,False
LCA13-75,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lca13_tn.jpg,jpg,"(7, 6, 6)",black,black,mostly black,"(0, 0, 0)",black,170,116,False
LD25-12,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/ld25-12_tn.jpg,jpg,"(143, 145, 146)",white,lightslategrey,mostly black,"(0, 0, 0)",black,127,170,False
LD33-D,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/ld33_tn.jpg,jpg,"(202, 203, 203)",white,lightgrey,mostly black,"(0, 0, 0)",black,90,170,False
LD34,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/ld34_tn.jpg,jpg,"(32, 32, 32)",black,black,mostly black,"(0, 0, 0)",black,106,170,False
LD9-W,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/ld5-w_tn.jpg,jpg,"(201, 201, 201)",white,silver,mostly black,"(1, 1, 1)",black,144,170,False
LF16-100,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lf16_tn.jpg,jpg,"(20, 19, 19)",black,black,mostly black,"(0, 0, 0)",black,78,170,False
LFV4-100,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lfv4_tn.jpg,jpg,"(147, 152, 168)",white,darkgrey,mostly black,"(0, 0, 0)",black,134,170,False
LG72-0030,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lg72_tn.jpg,jpg,"(27, 11, 13)",black,black,mostly black,"(0, 0, 0)",black,170,101,False
LG74-1000,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lg74-1000_tn.jpg,jpg,"(77, 57, 59)",black,darkslategrey,mostly white,"(41, 89, 155)",blue,170,120,False
LSRP-150,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lsrp_tn.jpg,jpg,"(212, 211, 210)",white,lightgrey,mostly black,"(0, 0, 0)",black,80,170,False
T713-D,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/t71-pp_tn.jpg,jpg,"(183, 183, 183)",white,silver,mostly black,"(1, 1, 1)",black,115,170,False
T753-235,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/t753_tn.jpg,jpg,"(4, 4, 4)",black,black,mostly black,"(0, 0, 0)",black,165,170,False
TCV5-06,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/tcv5_tn.jpg,jpg,"(21, 21, 21)",black,black,mostly black,"(0, 0, 0)",black,139,170,False
TCV6-06,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/tcv6_tn.jpg,jpg,"(10, 10, 11)",black,black,mostly black,"(0, 0, 0)",black,65,170,False
TCV7-06,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/tcv7_tn.jpg,jpg,"(172, 171, 171)",white,darkgrey,mostly black,"(0, 0, 0)",black,120,170,False
TSV2-10,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/tsv-pp_tn.jpg,jpg,"(192, 189, 191)",white,silver,mostly black,"(0, 0, 0)",black,97,170,False
HG70-35,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/Capture_2ae96074-90a0-4921-85c8-19f9409f1c1f_tn.PNG,png,"(132, 178, 204)",white,skyblue,mostly white,"(81, 143, 200)",green blue,93,157,False
O7014,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/o7014_tn.jpg,jpg,"(164, 162, 169)",white,darkgrey,mostly black,"(188, 190, 203)",white,66,170,False
OFF250-2,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/fuse_tn.jpg,jpg,"(196, 185, 174)",white,silver,mostly black,"(0, 0, 0)",black,65,170,False
OXJF-BM,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/oxjf-bm_tn.jpg,jpg,"(192, 187, 180)",white,silver,mostly black,"(1, 0, 0)",black,33,170,False
YD2030-050,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lns-dewar-vessel_tn.jpg,jpg,"(207, 208, 209)",white,lightgrey,mostly black,"(0, 0, 0)",black,134,170,False
YDC010-050,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/canister-w-handle_tn.jpg,jpg,"(6, 6, 6)",black,black,mostly black,"(0, 0, 0)",black,170,88,False
P230-E27,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/p230_tn.jpg,jpg,"(52, 51, 49)",black,darkslategrey,mostly black,"(0, 0, 4)",black,82,170,False
IA030,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/ia030_tn.jpg,jpg,"(165, 136, 138)",white,rosybrown,mostly white,"(2, 59, 128)",blue,125,170,False
E112-150,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/e112_tn.jpg,jpg,"(195, 187, 175)",white,silver,mostly black,"(2, 1, 6)",black,170,140,False
E124-150,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/e124_tn.jpg,jpg,"(10, 10, 10)",black,black,mostly black,"(0, 0, 0)",black,170,133,False
M051,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/m051_tn.jpg,jpg,"(10, 9, 8)",black,black,mostly black,"(0, 0, 2)",black,170,56,False
SUI22-12,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/sui22_tn.jpg,jpg,"(20, 20, 20)",black,black,mostly black,"(0, 0, 0)",black,160,170,False
SUI23-12,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/sui23_tn.jpg,jpg,"(68, 49, 48)",black,darkslategrey,mostly white,"(101, 15, 14)",black,170,168,False
SUI32-12,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/sui32-12_tn.jpg,jpg,"(57, 47, 48)",black,darkslategrey,mostly black,"(89, 4, 7)",black,170,158,False
SUI4,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/sui4_tn.jpg,jpg,"(169, 169, 156)",white,darkgrey,mostly black,"(0, 0, 0)",black,170,102,False
SUI612-050,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/sui-3f_tn.jpg,jpg,"(157, 165, 171)",white,darkgrey,mostly black,"(0, 0, 0)",black,170,118,False
L63TC-13C,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l63tc_tn.jpg,jpg,"(11, 13, 15)",black,black,mostly black,"(0, 0, 0)",black,109,170,False
O654,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/o654a_tn.jpg,jpg,"(162, 177, 196)",white,darkgrey,mostly black,"(25, 25, 25)",black,96,170,False
L680,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l68-glass_tn.jpg,jpg,"(8, 9, 11)",black,black,mostly black,"(4, 0, 0)",black,142,170,False
LB101,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lb110_tn.jpg,jpg,"(16, 18, 17)",black,black,mostly black,"(0, 0, 0)",black,170,113,False
LC0100,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/LC0_tn.jpg,jpg,"(15, 18, 15)",black,black,mostly black,"(4, 4, 4)",black,170,92,False
LC101,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lc1_tn.jpg,jpg,"(15, 14, 13)",black,black,mostly black,"(0, 0, 0)",black,170,105,False
LC30,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lc3_tn.jpg,jpg,"(18, 17, 15)",black,black,mostly black,"(0, 2, 0)",black,170,84,False
LCA32,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lca-glass_tn.jpg,jpg,"(17, 18, 19)",black,black,mostly black,"(0, 0, 0)",black,149,170,False
LCB12,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lcb12_tn.jpg,jpg,"(5, 5, 6)",black,black,mostly black,"(0, 0, 0)",black,89,170,False
LCB19,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lcb19_tn.jpg,jpg,"(187, 187, 187)",white,silver,mostly black,"(1, 1, 1)",black,170,103,False
LF13-040,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lf13_tn.jpg,jpg,"(7, 7, 7)",black,black,mostly black,"(6, 6, 6)",black,123,170,False
LF14-100,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lf14_tn.jpg,jpg,"(7, 6, 6)",black,black,mostly black,"(0, 0, 0)",black,137,170,False
YCA17-50B,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/yca17-50b_tn.jpg,jpg,"(168, 135, 133)",white,rosybrown,mostly black,"(0, 0, 0)",black,155,170,False
L66-040S,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l66-cap_tn.jpg,jpg,"(196, 196, 197)",white,silver,mostly black,"(193, 193, 193)",white,170,170,False
H163-2,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/h163-2_tn.jpg,jpg,"(169, 163, 152)",white,darkgrey,mostly black,"(0, 0, 0)",black,130,170,False
HG22-500,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/motar_tn.jpg,jpg,"(161, 162, 144)",white,darkgrey,mostly black,"(0, 0, 0)",black,101,170,False
M262,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/m26_tn.jpg,jpg,"(212, 68, 67)",red,indianred,mostly black,"(2, 0, 1)",black,148,170,False
MF05,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/mf05_tn.jpg,jpg,"(9, 12, 18)",black,black,mostly black,"(0, 1, 0)",black,12,170,False
MF07,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/mf07_tn.jpg,jpg,"(8, 9, 9)",black,black,mostly black,"(14, 3, 9)",black,32,170,False
MF08,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/mf08_tn.jpg,jpg,"(8, 9, 8)",black,black,mostly black,"(0, 5, 8)",black,12,170,False
EWBT-08,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/ewbt-08_tn.jpg,jpg,"(132, 131, 132)",white,grey,mostly white,"(146, 146, 146)",white,118,170,False
MBK-N95,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/N95-mask_tn.jpg,jpg,"(208, 206, 204)",white,lightgrey,mostly black,"(1, 1, 1)",black,119,170,False
VF4-01,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/vf4-04_tn.jpg,jpg,"(192, 192, 194)",white,silver,mostly black,"(1, 1, 1)",black,170,136,False
E12-001,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/e123_600x_crop_center_tn.jpg,jpg,"(218, 223, 235)",white,gainsboro,mostly white,"(169, 214, 255)",white,170,170,False
E12-005,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/e12-007_tn.jpg,jpg,"(15, 15, 14)",black,black,mostly black,"(0, 0, 0)",black,147,170,False
E12-101,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/e125_600x_crop_center_tn.jpg,jpg,"(199, 189, 184)",white,silver,mostly black,"(255, 255, 255)",white,170,170,False
H431,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/h433_tn.jpg,jpg,"(22, 22, 22)",black,black,mostly black,"(0, 0, 0)",black,170,112,False
H44200,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/h44200_tn.jpg,jpg,"(190, 192, 193)",white,silver,mostly black,"(0, 0, 0)",black,134,170,False
H44581,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/h44581_tn.jpg,jpg,"(221, 223, 220)",white,gainsboro,mostly black,"(0, 0, 0)",black,128,170,False
H4650C,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/h4650c_tn.jpg,jpg,"(185, 184, 185)",white,silver,mostly black,"(0, 0, 0)",black,99,170,False
H638,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/h638_tn.jpg,jpg,"(5, 5, 6)",black,black,mostly black,"(3, 3, 3)",black,170,101,False
H731,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/expandable-drawer_tn.jpg,jpg,"(192, 185, 182)",white,silver,mostly black,"(224, 220, 219)",white,170,170,False
HG76-02M,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/hg76m_tn.jpg,jpg,"(198, 196, 190)",white,silver,mostly black,"(0, 0, 0)",black,100,170,False
HG76-02P,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/hg76-close_tn.jpg,jpg,"(9, 9, 9)",black,black,mostly black,"(0, 0, 0)",black,115,170,False
ID02BE,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/id02_tn.jpg,jpg,"(163, 201, 119)",red green,darkkhaki,mostly white,"(166, 213, 109)",red green,58,170,False
L133-080,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l133_tn.jpg,jpg,"(9, 10, 11)",black,black,mostly black,"(0, 0, 0)",black,70,170,False
L13463-0075,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l13463_tn.jpg,jpg,"(151, 152, 163)",white,darkgrey,mostly black,"(0, 0, 0)",black,115,170,False
L135-075,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l135_tn.jpg,jpg,"(204, 203, 200)",white,lightgrey,mostly black,"(1, 1, 1)",black,85,170,False
L151,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l151_tn.jpg,jpg,"(9, 9, 9)",black,black,mostly black,"(0, 0, 0)",black,170,88,False
L180B,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l180b_tn.jpg,jpg,"(4, 6, 18)",black,black,mostly black,"(0, 0, 0)",black,154,170,False
L231-05-PE,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l231_tn.jpg,jpg,"(157, 143, 147)",white,rosybrown,mostly black,"(0, 0, 0)",black,124,170,False
L7-040,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l7-040_tn.jpg,jpg,"(6, 6, 7)",black,black,mostly black,"(0, 0, 0)",black,170,144,False
LCA12-070,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lca12_tn.jpg,jpg,"(25, 26, 26)",black,black,mostly black,"(0, 0, 0)",black,170,156,False
LCY17-0004,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lg75_tn.jpg,jpg,"(149, 149, 151)",white,lightslategrey,mostly black,"(1, 1, 1)",black,170,139,False
TCV3-03X,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/tcv3_tn.jpg,jpg,"(148, 148, 149)",white,lightslategrey,mostly black,"(0, 0, 0)",black,95,170,False
TCV5-03X,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/tcv5_tn.jpg,jpg,"(21, 21, 21)",black,black,mostly black,"(0, 0, 0)",black,139,170,False
TCV6-03X,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/tcv6_tn.jpg,jpg,"(10, 10, 11)",black,black,mostly black,"(0, 0, 0)",black,65,170,False
H6-1000,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/h6_tn.jpg,jpg,"(182, 180, 180)",white,silver,mostly black,"(2, 1, 7)",black,49,170,False
L146-005,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l146_tn.jpg,jpg,"(13, 13, 12)",black,black,mostly black,"(0, 0, 0)",black,147,170,False
L238-018,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l238-018_tn.jpg,jpg,"(13, 15, 17)",black,black,mostly black,"(0, 0, 2)",black,168,170,False
L72-250,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/134393_tn.jpg,jpg,"(192, 240, 251)",white,paleturquoise,mostly white,"(7, 115, 250)",blue,170,120,False
L7A-250,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l7-w_tn.jpg,jpg,"(11, 110, 186)",blue,darkcyan,mostly white,"(0, 97, 178)",blue,120,170,False
L7C-500B,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l7c_tn.jpg,jpg,"(7, 8, 9)",black,black,mostly black,"(0, 0, 0)",black,138,170,False
LBV2-0010,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lbv2_tn.jpg,jpg,"(35, 104, 173)",blue,steelblue,mostly white,"(23, 98, 165)",blue,120,170,False
LBV4-0010,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lbv4_tn.jpg,jpg,"(178, 125, 137)",red blue,rosybrown,mostly black,"(1, 1, 1)",black,168,170,False
LBV5-500B,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lbv5_tn.jpg,jpg,"(201, 72, 41)",red,chocolate,mostly white,"(18, 125, 203)",blue,73,170,False
LCEV2-0050,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lcev2_tn.jpg,jpg,"(15, 16, 16)",black,black,mostly black,"(1, 1, 1)",black,170,164,False
LCEV4-0050,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lcev4_tn.jpg,jpg,"(197, 195, 197)",white,silver,mostly black,"(1, 1, 1)",black,160,170,False
LCV2-0010,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lcv2_tn.jpg,jpg,"(14, 15, 16)",black,black,mostly black,"(0, 0, 0)",black,170,117,False
LCVV2-0010,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lcvv2_tn.jpg,jpg,"(152, 160, 170)",white,darkgrey,mostly black,"(0, 0, 0)",black,169,166,False
LCVV4-0010,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lcvv4_tn.jpg,jpg,"(165, 154, 164)",white,darkgrey,mostly black,"(1, 1, 1)",black,170,107,False
LFV2-030,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lfv2_tn.jpg,jpg,"(111, 111, 111)",black,dimgrey,mostly black,"(0, 0, 0)",black,170,161,False
LFV3-065,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lfv3_tn.jpg,jpg,"(14, 14, 15)",black,black,mostly black,"(0, 0, 0)",black,78,170,False
LGV2-0100,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lgv2_tn.jpg,jpg,"(111, 114, 115)",black,dimgrey,mostly black,"(0, 0, 0)",black,170,144,False
LGV4-0100,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lgv5_tn.jpg,jpg,"(172, 177, 181)",white,darkgrey,mostly black,"(0, 0, 0)",black,113,170,False
LPV3-01,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lpv3_tn.jpg,jpg,"(8, 8, 11)",black,black,mostly black,"(0, 0, 0)",black,170,30,False
LPV6-5,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lpv6-5_tn.jpg,jpg,"(4, 4, 4)",black,black,mostly black,"(0, 0, 0)",black,141,170,False
SDV3-0100-28,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/sdv3_tn.jpg,jpg,"(41, 34, 35)",black,darkslategrey,mostly black,"(47, 97, 150)",blue,170,84,False
TCV4-U5,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/tcv4-u5_tn.jpg,jpg,"(164, 167, 172)",white,darkgrey,mostly black,"(0, 0, 0)",black,98,170,False
TP099,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/tp-pmp_tn.jpg,jpg,"(7, 7, 7)",black,black,mostly black,"(0, 0, 0)",black,91,170,False
TPV-115,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/tpv-pom_tn.jpg,jpg,"(207, 189, 105)",red green,darkkhaki,mostly black,"(0, 0, 0)",black,90,170,False
TSV13-09,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/tsv13-09_tn.jpg,jpg,"(206, 206, 204)",white,lightgrey,mostly black,"(0, 0, 0)",black,76,170,False
H408,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/petri-dishes-ps-sterile_tn.jpg,jpg,"(17, 13, 14)",black,black,mostly black,"(0, 0, 0)",black,114,170,False
H4282-30,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/h4282-30_tn.jpg,jpg,"(20, 20, 20)",black,black,mostly black,"(0, 0, 0)",black,112,170,False
H4283-60,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/h4283-60_tn.jpg,jpg,"(15, 17, 15)",black,black,mostly black,"(0, 0, 0)",black,138,170,False
H470-G,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/h474-2_tn.jpg,jpg,"(195, 180, 160)",white,tan,mostly black,"(166, 167, 169)",white,110,170,False
HCA30-04,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/hca30_tn.jpg,jpg,"(140, 145, 159)",white,lightslategrey,mostly black,"(0, 0, 0)",black,117,170,False
HCE03,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/hce03_tn.jpg,jpg,"(11, 102, 242)",blue,dodgerblue,mostly white,"(0, 85, 254)",blue,96,170,False
HCE04,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/2076_PriceBreak_2089_tn.jpg,jpg,"(9, 95, 231)",blue,royalblue,mostly white,"(255, 255, 255)",white,170,170,False
HCE06,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/hce06_tn.jpg,jpg,"(9, 89, 248)",blue,dodgerblue,mostly white,"(1, 64, 253)",blue,101,170,False
HCE10,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/hce10_tn.jpg,jpg,"(7, 7, 7)",black,black,mostly black,"(16, 16, 16)",black,117,170,False
L140B-005,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l140-ps_tn.jpg,jpg,"(13, 13, 13)",black,black,mostly black,"(0, 0, 0)",black,142,170,False
L629-30,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/l629-30_tn.jpg,jpg,"(12, 12, 12)",black,black,mostly black,"(0, 0, 0)",black,170,126,False
LC76-10,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lc76-10_tn.jpg,jpg,"(10, 10, 10)",black,black,mostly black,"(7, 3, 0)",black,170,65,False
LCA01,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lca-pp_tn.jpg,jpg,"(189, 191, 191)",white,silver,mostly black,"(1, 2, 0)",black,64,170,False
LCA04-15PET,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lca04-15pet_tn.jpg,jpg,"(26, 27, 33)",black,black,mostly black,"(0, 0, 18)",black,61,170,False
LCA05-G,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lca05_tn.jpg,jpg,"(178, 163, 147)",white,rosybrown,mostly black,"(0, 0, 0)",black,82,170,False
LCA09-02,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lca09-02_tn.jpg,jpg,"(11, 12, 15)",black,black,mostly black,"(0, 0, 0)",black,156,170,False
LCA09-05,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lca09_tn.jpg,jpg,"(41, 41, 41)",black,darkslategrey,mostly white,"(53, 53, 53)",black,59,170,False
LCA10-05,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lca10_tn.jpg,jpg,"(9, 10, 11)",black,black,mostly black,"(0, 0, 0)",black,119,170,False
LCB04-08,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lcb04_tn.jpg,jpg,"(66, 70, 73)",black,darkslategrey,mostly white,"(76, 80, 83)",black,84,170,False
LCB12-03,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/lcb12-pp_tn.jpg,jpg,"(80, 86, 100)",black,dimgrey,mostly black,"(0, 0, 0)",black,170,94,False
LCH192,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/20160608153793209320_tn.jpg,jpg,"(92, 97, 100)",black,dimgrey,mostly white,"(95, 96, 100)",black,170,170,False
LCH23-15,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/1519_PriceBreak_1531_tn.jpg,jpg,"(92, 99, 99)",black,dimgrey,mostly white,"(92, 93, 97)",black,170,170,False
LD14,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/ld14_tn.jpg,jpg,"(183, 78, 72)",red,indianred,mostly black,"(66, 58, 71)",black,100,170,False
LD5-R,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/ld-ec_tn.jpg,jpg,"(6, 12, 34)",black,black,mostly black,"(1, 1, 1)",black,114,170,False
LD60-B,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/ld60_tn.jpg,jpg,"(189, 92, 118)",red,indianred,mostly black,"(0, 9, 2)",black,108,170,False
LD61-B,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/ld6_tn.jpg,jpg,"(6, 5, 7)",black,black,mostly black,"(0, 0, 0)",black,144,170,False
LD63-O,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/ld63-o_tn.jpg,jpg,"(82, 76, 80)",black,darkslategrey,mostly white,"(46, 46, 48)",black,130,170,False
LD70-G,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/ld70_tn.jpg,jpg,"(17, 22, 9)",black,black,mostly black,"(6, 0, 0)",black,76,170,False
LD71-B,https://go.cin7.com/webfiles/ProSciTechAU/webpages/images/275564/ld71_tn.jpg,jpg,"(235, 143, 47)",red green,goldenrod,mostly black,"(0, 0, 0)",black,111,170,False
